"Seccion","Modulo","Submodulo","Tipo","Descripcion","Funcionamiento","Relaciones","Reglas_Logicas","Archivos_Relacionados","Tablas_Base_Datos","Providers_Servicios","Endpoints_Backend","Flujo_Proceso","Riesgos_Consideraciones","Estado_Actual","Notas_Tecnicas"
"Riesgos y puntos criticos","Fallos por endpoints mal enrutados","Riesgo operativo/tecnico","Riesgo","Fallos por endpoints mal enrutados","Centralizar rutas en registry y probar inventory/images, inventory_images, /health y /api/health.","Afecta: No aplica.","Debe incluirse en QA y revisiones antes de releases.","lib/data/services/sync_endpoint_registry.dart; InventoryImagesSyncController.cs","No aplica","Servicios/repositorios segun modulo afectado","Endpoints relacionados segun modulo","Detectar -> diagnosticar -> corregir -> validar regresion.","Fallos por endpoints mal enrutados","Riesgo activo a vigilar.","Incluido por requerimiento y por evidencia del repo."
"Riesgos y puntos criticos","Contratos JSON camelCase/snake_case","Riesgo operativo/tecnico","Riesgo","Contratos JSON camelCase/snake_case","Actualizar DTOs, mappers y tests al cambiar campos.","Afecta: Todas sync.","Debe incluirse en QA y revisiones antes de releases.","lib/data/contracts/data_contract_registry.dart; backend/src/FiadoApp.Api/DTOs/*.cs","Todas sync","Servicios/repositorios segun modulo afectado","Endpoints relacionados segun modulo","Detectar -> diagnosticar -> corregir -> validar regresion.","Contratos JSON camelCase/snake_case","Riesgo activo a vigilar.","Incluido por requerimiento y por evidencia del repo."
"Riesgos y puntos criticos","Datos locales sin confirmar en cloud","Riesgo operativo/tecnico","Riesgo","Datos locales sin confirmar en cloud","Mostrar pendientes y reintentar; no bloquear operacion local sin razon.","Afecta: sync_queue; sync_outbox.","Debe incluirse en QA y revisiones antes de releases.","lib/screens/sync_status_screen.dart","sync_queue; sync_outbox","Servicios/repositorios segun modulo afectado","Endpoints relacionados segun modulo","Detectar -> diagnosticar -> corregir -> validar regresion.","Datos locales sin confirmar en cloud","Riesgo activo a vigilar.","Incluido por requerimiento y por evidencia del repo."
"Riesgos y puntos criticos","Colaboradores con permisos indebidos","Riesgo operativo/tecnico","Riesgo","Colaboradores con permisos indebidos","Validar permisos en UI, repositorios y backend.","Afecta: usuarios; solicitudes_autorizacion.","Debe incluirse en QA y revisiones antes de releases.","lib/core/permissions; solicitud_autorizacion_repository.dart","usuarios; solicitudes_autorizacion","Servicios/repositorios segun modulo afectado","Endpoints relacionados segun modulo","Detectar -> diagnosticar -> corregir -> validar regresion.","Colaboradores con permisos indebidos","Riesgo activo a vigilar.","Incluido por requerimiento y por evidencia del repo."
"Riesgos y puntos criticos","Productos sin precio al crear deuda","Riesgo operativo/tecnico","Riesgo","Productos sin precio al crear deuda","Validar precio_unitario y subtotal antes de guardar deuda_items.","Afecta: productos; deuda_items.","Debe incluirse en QA y revisiones antes de releases.","lib/data/repositories/billable_product_query.dart","productos; deuda_items","Servicios/repositorios segun modulo afectado","Endpoints relacionados segun modulo","Detectar -> diagnosticar -> corregir -> validar regresion.","Productos sin precio al crear deuda","Riesgo activo a vigilar.","Incluido por requerimiento y por evidencia del repo."
"Riesgos y puntos criticos","Problemas de migraciones SQLite","Riesgo operativo/tecnico","Riesgo","Problemas de migraciones SQLite","Usar _addColumnIfMissing, backfills defensivos y pruebas con DB vieja.","Afecta: Todas SQLite.","Debe incluirse en QA y revisiones antes de releases.","lib/core/database/database_helper.dart","Todas SQLite","Servicios/repositorios segun modulo afectado","Endpoints relacionados segun modulo","Detectar -> diagnosticar -> corregir -> validar regresion.","Problemas de migraciones SQLite","Riesgo activo a vigilar.","Incluido por requerimiento y por evidencia del repo."
"Riesgos y puntos criticos","Cuelgues de comandos Flutter/Dart","Riesgo operativo/tecnico","Riesgo","Cuelgues de comandos Flutter/Dart","Usar scripts con timeout y limpiar procesos solo cuando sea necesario.","Afecta: No aplica.","Debe incluirse en QA y revisiones antes de releases.","tools/scripts/run_with_timeout.ps1; STARTUP_RUNTIME_FIX_REPORT.md","No aplica","Servicios/repositorios segun modulo afectado","Endpoints relacionados segun modulo","Detectar -> diagnosticar -> corregir -> validar regresion.","Cuelgues de comandos Flutter/Dart","Riesgo activo a vigilar.","Incluido por requerimiento y por evidencia del repo."
"Checklist de validacion QA","Autenticacion por rol","Prueba recomendada","QA","Validacion QA: Autenticacion por rol.","Registrar Personal, Negocio y Colaborador; probar login, logout, timeout y segundo dispositivo.","Tablas/areas: usuarios; sesiones; subscriptions.","Ejecutar con al menos dos roles y, para sync, con dos dispositivos o bases locales.","test/*.dart; test/regression/*.dart; tools/qa/*.dart; MOBILE_QA_CHECKLIST.md; CLOUD_SYNC_QA_CHECKLIST.md","usuarios; sesiones; subscriptions","Repositorios, providers y servicios del modulo","Endpoints del modulo cuando aplique","Preparar datos -> ejecutar flujo -> revisar UI -> revisar SQLite/cloud -> registrar resultado.","No cubrir estos casos aumenta riesgo de regresion funcional.","Recomendado.","No se ejecutaron pruebas porque esta tarea solo crea documentacion."
"Checklist de validacion QA","Clientes","Prueba recomendada","QA","Validacion QA: Clientes.","Crear, editar, eliminar logicamente y sincronizar clientes; validar telefono unico por negocio.","Tablas/areas: clientes.","Ejecutar con al menos dos roles y, para sync, con dos dispositivos o bases locales.","test/*.dart; test/regression/*.dart; tools/qa/*.dart; MOBILE_QA_CHECKLIST.md; CLOUD_SYNC_QA_CHECKLIST.md","clientes","Repositorios, providers y servicios del modulo","Endpoints del modulo cuando aplique","Preparar datos -> ejecutar flujo -> revisar UI -> revisar SQLite/cloud -> registrar resultado.","No cubrir estos casos aumenta riesgo de regresion funcional.","Recomendado.","No se ejecutaron pruebas porque esta tarea solo crea documentacion."
"Checklist de validacion QA","Deuda simple","Prueba recomendada","QA","Validacion QA: Deuda simple.","Crear deuda sin productos, validar saldo, ciclo y comprobante.","Tablas/areas: movimientos; credito_ciclos; comprobantes.","Ejecutar con al menos dos roles y, para sync, con dos dispositivos o bases locales.","test/*.dart; test/regression/*.dart; tools/qa/*.dart; MOBILE_QA_CHECKLIST.md; CLOUD_SYNC_QA_CHECKLIST.md","movimientos; credito_ciclos; comprobantes","Repositorios, providers y servicios del modulo","Endpoints del modulo cuando aplique","Preparar datos -> ejecutar flujo -> revisar UI -> revisar SQLite/cloud -> registrar resultado.","No cubrir estos casos aumenta riesgo de regresion funcional.","Recomendado.","No se ejecutaron pruebas porque esta tarea solo crea documentacion."
"Checklist de validacion QA","Deuda con productos","Prueba recomendada","QA","Validacion QA: Deuda con productos.","Crear producto con precio, fiar articulos, validar deuda_items, descuento de stock y PDF.","Tablas/areas: productos; deuda_items; movimientos.","Ejecutar con al menos dos roles y, para sync, con dos dispositivos o bases locales.","test/*.dart; test/regression/*.dart; tools/qa/*.dart; MOBILE_QA_CHECKLIST.md; CLOUD_SYNC_QA_CHECKLIST.md","productos; deuda_items; movimientos","Repositorios, providers y servicios del modulo","Endpoints del modulo cuando aplique","Preparar datos -> ejecutar flujo -> revisar UI -> revisar SQLite/cloud -> registrar resultado.","No cubrir estos casos aumenta riesgo de regresion funcional.","Recomendado.","No se ejecutaron pruebas porque esta tarea solo crea documentacion."
"Checklist de validacion QA","Pagos","Prueba recomendada","QA","Validacion QA: Pagos.","Registrar pago parcial y total; validar ciclo mas viejo, saldo y comprobante.","Tablas/areas: movimientos; credito_ciclos; comprobantes.","Ejecutar con al menos dos roles y, para sync, con dos dispositivos o bases locales.","test/*.dart; test/regression/*.dart; tools/qa/*.dart; MOBILE_QA_CHECKLIST.md; CLOUD_SYNC_QA_CHECKLIST.md","movimientos; credito_ciclos; comprobantes","Repositorios, providers y servicios del modulo","Endpoints del modulo cuando aplique","Preparar datos -> ejecutar flujo -> revisar UI -> revisar SQLite/cloud -> registrar resultado.","No cubrir estos casos aumenta riesgo de regresion funcional.","Recomendado.","No se ejecutaron pruebas porque esta tarea solo crea documentacion."
"Checklist de validacion QA","Inventario e imagenes","Prueba recomendada","QA","Validacion QA: Inventario e imagenes.","Crear/editar producto, agregar hasta 3 imagenes, validar optimizacion, miniatura y sync.","Tablas/areas: productos; producto_imagenes.","Ejecutar con al menos dos roles y, para sync, con dos dispositivos o bases locales.","test/*.dart; test/regression/*.dart; tools/qa/*.dart; MOBILE_QA_CHECKLIST.md; CLOUD_SYNC_QA_CHECKLIST.md","productos; producto_imagenes","Repositorios, providers y servicios del modulo","Endpoints del modulo cuando aplique","Preparar datos -> ejecutar flujo -> revisar UI -> revisar SQLite/cloud -> registrar resultado.","No cubrir estos casos aumenta riesgo de regresion funcional.","Recomendado.","No se ejecutaron pruebas porque esta tarea solo crea documentacion."
"Checklist de validacion QA","Auditorias","Prueba recomendada","QA","Validacion QA: Auditorias.","Ejecutar diaria y semanal por colaborador; revisar reportes de negocio.","Tablas/areas: auditorias; auditoria_items.","Ejecutar con al menos dos roles y, para sync, con dos dispositivos o bases locales.","test/*.dart; test/regression/*.dart; tools/qa/*.dart; MOBILE_QA_CHECKLIST.md; CLOUD_SYNC_QA_CHECKLIST.md","auditorias; auditoria_items","Repositorios, providers y servicios del modulo","Endpoints del modulo cuando aplique","Preparar datos -> ejecutar flujo -> revisar UI -> revisar SQLite/cloud -> registrar resultado.","No cubrir estos casos aumenta riesgo de regresion funcional.","Recomendado.","No se ejecutaron pruebas porque esta tarea solo crea documentacion."
"Checklist de validacion QA","Solicitudes","Prueba recomendada","QA","Validacion QA: Solicitudes.","Colaborador solicita cambio sensible; negocio aprueba/rechaza; sync refleja estado.","Tablas/areas: solicitudes_autorizacion.","Ejecutar con al menos dos roles y, para sync, con dos dispositivos o bases locales.","test/*.dart; test/regression/*.dart; tools/qa/*.dart; MOBILE_QA_CHECKLIST.md; CLOUD_SYNC_QA_CHECKLIST.md","solicitudes_autorizacion","Repositorios, providers y servicios del modulo","Endpoints del modulo cuando aplique","Preparar datos -> ejecutar flujo -> revisar UI -> revisar SQLite/cloud -> registrar resultado.","No cubrir estos casos aumenta riesgo de regresion funcional.","Recomendado.","No se ejecutaron pruebas porque esta tarea solo crea documentacion."
"Checklist de validacion QA","Campanas WhatsApp","Prueba recomendada","QA","Validacion QA: Campanas WhatsApp.","Renderizar flyers, abrir share sheet, confirmar/cancelar y validar cupo.","Tablas/areas: whatsapp_campaign_publications.","Ejecutar con al menos dos roles y, para sync, con dos dispositivos o bases locales.","test/*.dart; test/regression/*.dart; tools/qa/*.dart; MOBILE_QA_CHECKLIST.md; CLOUD_SYNC_QA_CHECKLIST.md","whatsapp_campaign_publications","Repositorios, providers y servicios del modulo","Endpoints del modulo cuando aplique","Preparar datos -> ejecutar flujo -> revisar UI -> revisar SQLite/cloud -> registrar resultado.","No cubrir estos casos aumenta riesgo de regresion funcional.","Recomendado.","No se ejecutaron pruebas porque esta tarea solo crea documentacion."
"Checklist de validacion QA","Sync offline/online","Prueba recomendada","QA","Validacion QA: Sync offline/online.","Crear cambios offline, reconectar, sincronizar y verificar segundo dispositivo.","Tablas/areas: sync_queue; sync_outbox; sync_state.","Ejecutar con al menos dos roles y, para sync, con dos dispositivos o bases locales.","test/*.dart; test/regression/*.dart; tools/qa/*.dart; MOBILE_QA_CHECKLIST.md; CLOUD_SYNC_QA_CHECKLIST.md","sync_queue; sync_outbox; sync_state","Repositorios, providers y servicios del modulo","Endpoints del modulo cuando aplique","Preparar datos -> ejecutar flujo -> revisar UI -> revisar SQLite/cloud -> registrar resultado.","No cubrir estos casos aumenta riesgo de regresion funcional.","Recomendado.","No se ejecutaron pruebas porque esta tarea solo crea documentacion."
"Checklist de validacion QA","Backend y migraciones","Prueba recomendada","QA","Validacion QA: Backend y migraciones.","Probar /health, /api/health, login JWT, sync push/pull y migraciones pendientes.","Tablas/areas: SQL Server; FiadoDbContext.","Ejecutar con al menos dos roles y, para sync, con dos dispositivos o bases locales.","test/*.dart; test/regression/*.dart; tools/qa/*.dart; MOBILE_QA_CHECKLIST.md; CLOUD_SYNC_QA_CHECKLIST.md","SQL Server; FiadoDbContext","Repositorios, providers y servicios del modulo","Endpoints del modulo cuando aplique","Preparar datos -> ejecutar flujo -> revisar UI -> revisar SQLite/cloud -> registrar resultado.","No cubrir estos casos aumenta riesgo de regresion funcional.","Recomendado.","No se ejecutaron pruebas porque esta tarea solo crea documentacion."
"Consideraciones futuras","Centralizar permisos","Mejora","Roadmap","Centralizar permisos","Extraer reglas de rol a helpers/providers y reforzar backend.","Afecta usuarios; subscriptions; solicitudes_autorizacion.","Mantener compatibilidad offline-first y multi-negocio.","ARCHITECTURE.md; docs y modulos relacionados","usuarios; subscriptions; solicitudes_autorizacion","Servicios futuros segun modulo","Endpoints futuros o existentes segun modulo","Disenar -> implementar pequeno -> migrar -> probar.","Cambios grandes sin pruebas pueden romper flujo estable.","Recomendado.","No implementado en esta tarea."
"Consideraciones futuras","Resolucion de conflictos sync","Mejora","Roadmap","Resolucion de conflictos sync","Definir politica por entidad para cambios simultaneos y UI de conflicto.","Afecta sync_state; sync_outbox; tablas sync.","Mantener compatibilidad offline-first y multi-negocio.","ARCHITECTURE.md; docs y modulos relacionados","sync_state; sync_outbox; tablas sync","Servicios futuros segun modulo","Endpoints futuros o existentes segun modulo","Disenar -> implementar pequeno -> migrar -> probar.","Cambios grandes sin pruebas pueden romper flujo estable.","Recomendado.","No implementado en esta tarea."
"Consideraciones futuras","Storage real de imagenes","Mejora","Roadmap","Storage real de imagenes","Completar Blob/S3 para binarios y cache por content_hash.","Afecta producto_imagenes; ProductImages.","Mantener compatibilidad offline-first y multi-negocio.","ARCHITECTURE.md; docs y modulos relacionados","producto_imagenes; ProductImages","Servicios futuros segun modulo","Endpoints futuros o existentes segun modulo","Disenar -> implementar pequeno -> migrar -> probar.","Cambios grandes sin pruebas pueden romper flujo estable.","Recomendado.","No implementado en esta tarea."
"Consideraciones futuras","Auditoria funcional","Mejora","Roadmap","Auditoria funcional","Registrar antes/despues, usuario, dispositivo y origen para cambios sensibles.","Afecta SyncLogs; solicitudes_autorizacion.","Mantener compatibilidad offline-first y multi-negocio.","ARCHITECTURE.md; docs y modulos relacionados","SyncLogs; solicitudes_autorizacion","Servicios futuros segun modulo","Endpoints futuros o existentes segun modulo","Disenar -> implementar pequeno -> migrar -> probar.","Cambios grandes sin pruebas pueden romper flujo estable.","Recomendado.","No implementado en esta tarea."
"Consideraciones futuras","Web offline","Mejora","Roadmap","Web offline","Definir almacenamiento local web productivo si se quiere web offline-first.","Afecta SQLite/web storage por definir.","Mantener compatibilidad offline-first y multi-negocio.","ARCHITECTURE.md; docs y modulos relacionados","SQLite/web storage por definir","Servicios futuros segun modulo","Endpoints futuros o existentes segun modulo","Disenar -> implementar pequeno -> migrar -> probar.","Cambios grandes sin pruebas pueden romper flujo estable.","Recomendado.","No implementado en esta tarea."
